t,iL,vC,Vsw,Vin
0.005705001599999963,0.97691345,4.582874,9.999023,10.0
0.005705001599999974,0.97691345,4.582874,9.999023,10.0
0.005705001599999994,0.97691345,4.582874,9.9990225,10.0
0.005705002599999994,0.9768892,4.5828743,-0.749917,10.0
0.005705002615624994,0.9768888,4.5828743,-0.8332409,10.0
0.005706319099999986,0.94499505,4.5836644,-0.83231664,10.0
0.005707635584374978,0.9131037,4.5838833,-0.831436,10.0
0.005709205584374969,0.875079,4.5834017,-0.8303358,10.0
0.005709999,0.85586786,4.5828514,-0.8297616,10.0
0.005709999999999999,0.85584974,4.582851,1.8774652,10.0
0.005710000999999999,0.85585177,4.58285,6.389509,10.0
0.005710003,0.8558922,4.5828485,9.999145,10.0
0.005711372499999992,0.8890631,4.5820317,9.999111,10.0
0.005712741999999985,0.9222368,4.581833,9.999078,10.0
0.005714301999999976,0.96002346,4.5823555,9.99904,10.0
0.005715001,0.9769529,4.5828476,9.999023,10.0
0.005715001599999725,0.9769674,4.582848,9.999023,10.0
0.005715001599999974,0.9769674,4.582848,9.999023,10.0
0.005715001599999994,0.9769674,4.582848,9.9990225,10.0
0.005715002599999994,0.97694314,4.582849,-0.74991834,10.0
0.005715002615624995,0.9769428,4.582849,-0.83324236,10.0
0.0057162765999999865,0.9460788,4.5836234,-0.8323463,10.0
0.005717550584374979,0.91521686,4.5838633,-0.83149576,10.0
0.005719235584374969,0.8744069,4.5833626,-0.83031595,10.0
0.005719999000000001,0.85592234,4.58283,-0.8297633,10.0
0.005719999999999999,0.8559042,4.5828295,1.877464,10.0
0.005720001,0.85590625,4.5828285,6.3895087,10.0
0.005720003,0.8559466,4.582827,9.999144,10.0
0.005721257499999993,0.8863321,4.582056,9.999114,10.0
0.005722511999999987,0.91672015,4.581804,9.9990835,10.0
0.005724331999999976,0.96080494,4.582355,9.99904,10.0
0.0057250009999999995,0.9770078,4.58283,9.999023,10.0
0.005725001599999546,0.97702235,4.5828304,9.999023,10.0
0.005725001599999725,0.97702235,4.5828304,9.999023,10.0
0.005725001599999963,0.97702235,4.5828304,9.999023,10.0
0.005725001599999974,0.97702235,4.5828304,9.999023,10.0
0.005725001599999994,0.97702235,4.5828304,9.9990225,10.0
0.005725002599999994,0.97699803,4.5828314,-0.74991983,10.0
0.005725002615624994,0.9769977,4.5828314,-0.83324385,10.0
0.005726331599999987,0.94480133,4.583628,-0.83231133,10.0
0.005727660584374978,0.91260743,4.583843,-0.8314219,10.0
0.005729265584374968,0.8737356,4.583331,-0.83029604,10.0
0.005729999000000004,0.85597754,4.5828166,-0.82976496,10.0
0.005729999999999999,0.8559594,4.5828156,1.8774625,10.0
0.005730001,0.85596144,4.5828147,6.389508,10.0
0.005730003000000003,0.85600185,4.5828133,9.999144,10.0
0.005731359999999997,0.88887024,4.5820036,9.999111,10.0
0.005732716999999991,0.9217413,4.5818,9.999078,10.0
0.005734361999999982,0.961587,4.582363,9.999039,10.0
0.005735001,0.97706324,4.5828204,9.9990225,10.0
0.005735001599999308,0.9770778,4.582821,9.9990225,10.0
0.005735001599999725,0.9770778,4.582821,9.9990225,10.0
0.005735001599999964,0.9770778,4.582821,9.9990225,10.0
0.005735001599999974,0.9770778,4.582821,9.9990225,10.0
0.005735001599999994,0.9770778,4.582821,9.9990225,10.0
0.0057350025999999945,0.9770535,4.582822,-0.74992126,10.0
